algorithm,iteration,best_cost
pso,0,271.04
pso,1,236.71
pso,2,236.71
pso,3,236.71
pso,4,236.71
pso,5,236.71
pso,6,236.71
pso,7,236.71
pso,8,235.94
pso,9,235.94
pso,10,234.82
pso,11,234.82
pso,12,233.18
pso,13,233.18
pso,14,228.81
pso,15,222.03
pso,16,216.25
pso,17,214.57
pso,18,214.57
pso,19,214.57
pso,20,212.67
pso,21,212.67
pso,22,212.67
pso,23,212.67
pso,24,212.67
pso,25,212.67
pso,26,212.67
pso,27,212.67
pso,28,212.67
pso,29,212.67
pso,30,212.67
pso,31,212.67
pso,32,212.67
pso,33,212.67
pso,34,212.67
pso,35,212.67
pso,36,212.67
pso,37,212.67
pso,38,212.67
pso,39,212.67
pso,40,212.67
pso,41,212.67
pso,42,212.67
pso,43,212.67
pso,44,212.67
pso,45,212.67
pso,46,212.67
pso,47,212.67
pso,48,212.67
pso,49,212.67
pso,50,212.67
pso,51,212.67
pso,52,212.67
pso,53,212.67
pso,54,212.67
pso,55,212.67
pso,56,212.67
pso,57,212.67
pso,58,212.67
pso,59,212.67
pso,60,212.67
pso,61,212.67
pso,62,212.67
pso,63,212.67
pso,64,212.67
pso,65,211.03
pso,66,211.03
pso,67,203.64
pso,68,196.18
pso,69,195.51
pso,70,192.98
pso,71,192.98
pso,72,192.98
pso,73,192.98
pso,74,192.98
pso,75,192.98
pso,76,192.98
pso,77,192.98
pso,78,192.98
pso,79,192.98
pso,80,192.98
pso,81,192.98
pso,82,192.98
pso,83,192.98
pso,84,192.98
pso,85,192.98
pso,86,192.98
pso,87,192.98
pso,88,192.98
pso,89,192.98
pso,90,192.98
pso,91,192.98
pso,92,192.98
pso,93,192.98
pso,94,192.98
pso,95,192.98
pso,96,192.98
pso,97,192.98
pso,98,192.98
pso,99,192.98
ga,0,271.04
ga,1,271.04
ga,2,260.41
ga,3,253.82
ga,4,253.82
ga,5,253.82
ga,6,252.65
ga,7,252.65
ga,8,240.16
ga,9,240.16
ga,10,237.48
ga,11,222.22
ga,12,222.22
ga,13,222.22
ga,14,219.4
ga,15,219.28
ga,16,211.93
ga,17,211.93
ga,18,211.93
ga,19,211.93
ga,20,211.93
ga,21,211.93
ga,22,211.93
ga,23,211.3
ga,24,211.3
ga,25,211.3
ga,26,211.3
ga,27,209.01
ga,28,209.01
ga,29,209.01
ga,30,209.01
ga,31,209.01
ga,32,209.01
ga,33,209.01
ga,34,209.01
ga,35,203.75
ga,36,203.75
ga,37,203.75
ga,38,203.75
ga,39,203.75
ga,40,203.75
ga,41,203.75
ga,42,203.75
ga,43,203.75
ga,44,203.75
ga,45,203.75
ga,46,203.75
ga,47,203.75
ga,48,203.75
ga,49,203.75
ga,50,203.75
ga,51,203.75
ga,52,203.75
ga,53,203.75
ga,54,203.75
ga,55,203.75
ga,56,203.75
ga,57,203.75
ga,58,203.75
ga,59,203.75
ga,60,203.75
ga,61,203.75
ga,62,203.75
ga,63,203.75
ga,64,203.75
ga,65,199.53
ga,66,199.53
ga,67,199.53
ga,68,199.53
ga,69,199.53
