num_nodes,num_jobs,algorithm,total_cost,runtime_ms,is_feasible
20,10,greedy,173.4,1.84,True
20,10,pso,133.81,28.39,True
20,10,ga,133.08,43.73,True
20,10,qpso,134.01,33.64,True
20,10,qpso_ls,132.22,38.64,True
20,10,exact,130.01,126.24,False
50,25,greedy,327.38,4.13,True
50,25,pso,386.88,71.35,True
50,25,ga,376.1,77.06,False
50,25,qpso,377.89,104.25,True
50,25,qpso_ls,284.8,225.89,True
100,50,greedy,562.45,14.43,True
100,50,pso,868.36,137.65,False
100,50,ga,771.43,149.14,False
100,50,qpso,875.85,474.87,False
100,50,qpso_ls,532.56,4729.57,False
200,100,greedy,1218.89,242.2,True
200,100,pso,2141.41,1398.6,False
200,100,ga,2027.73,1468.96,False
200,100,qpso,2135.5,952.54,False
200,100,qpso_ls,1198.05,12661.38,False
